,precision,recall,f1-score,support
0,1.0,0.5555555555555556,0.7142857142857143,9.0
1,0.9,1.0,0.9473684210526315,9.0
2,1.0,1.0,1.0,8.0
3,0.875,1.0,0.9333333333333333,14.0
4,0.9,0.9,0.9,10.0
5,1.0,1.0,1.0,4.0
6,1.0,1.0,1.0,12.0
7,1.0,0.9444444444444444,0.9714285714285714,18.0
8,0.9090909090909091,1.0,0.9523809523809523,10.0
9,1.0,0.8,0.8888888888888888,10.0
A,1.0,1.0,1.0,6.0
B,1.0,0.8333333333333334,0.9090909090909091,6.0
C,0.75,1.0,0.8571428571428571,3.0
D,0.9166666666666666,1.0,0.9565217391304348,11.0
E,1.0,1.0,1.0,2.0
F,1.0,1.0,1.0,7.0
G,1.0,1.0,1.0,6.0
H,1.0,1.0,1.0,6.0
I,1.0,1.0,1.0,6.0
J,0.5,1.0,0.6666666666666666,1.0
K,1.0,1.0,1.0,6.0
L,0.8888888888888888,1.0,0.9411764705882353,8.0
M,1.0,1.0,1.0,2.0
N,1.0,1.0,1.0,1.0
O,0.3333333333333333,1.0,0.5,1.0
P,0.8571428571428571,1.0,0.9230769230769231,6.0
Q,1.0,0.3333333333333333,0.5,3.0
R,1.0,1.0,1.0,11.0
S,0.8,0.8,0.8,5.0
T,1.0,1.0,1.0,3.0
U,1.0,0.8,0.8888888888888888,5.0
V,1.0,1.0,1.0,4.0
W,1.0,1.0,1.0,5.0
X,1.0,1.0,1.0,4.0
Y,1.0,1.0,1.0,5.0
Z,1.0,1.0,1.0,3.0
accuracy,0.9434782608695652,0.9434782608695652,0.9434782608695652,0.9434782608695652
macro avg,0.9341700737534071,0.9435185185185185,0.923618064887639,230.0
weighted avg,0.9559197565719305,0.9434782608695652,0.9419420180600513,230.0
