n,real,classico_bruto,classico,yolo_cnn_bruto,yolo_cnn,yolo_bruto,yolo,n_chars_yolo,layout,conf_min_yolo
1,LQQ4J66,LPP4JS6,LPP4J56,LQ00466,LQO0A66,LQ0Q466,LQO0A66,7,mercosul,0.481
2,RHA0A01,IHADAD1,IHA0A01,RHD0003,RHD0O03,RHA0A01,RHA0A01,7,mercosul,0.589
3,OOV0D55,PQLFD5S,PQLFD55,00N0D55,OON0D55,00VDD55,OOV0D55,7,mercosul,0.326
4,NZW2197,O4O2APZ,OAO24P2,IZW2T9I,IZW2791,NZW2IS7,NZW2157,7,antiga,0.587
5,HKV1E93,LKY1F22,LKY1F22,SKK0FDG,SKK0F06,HXKVE23,HXKVE23,7,mercosul,0.325
6,BCE7C00,YCEPCSC,YCEPC5C,BDEE7CD,BDEE7C0,83E573D,B3E5730,7,antiga,0.322
7,FPW4I75,SYF2252,SYF2Z52,FFAI5PF,FFA1SPF,FPW4175,FPW4I75,7,mercosul,0.747
8,HLA0F38,GY3SE2W,GY35E2W,NUU4FFS,NUU4FF5,HJLAEF3,HJL4EF3,7,mercosul,0.353
9,NLO2I92,NLQ2IP2,NLQ2IP2,GL02I92,GLO2I92,NL02IS2,NLO2I52,7,mercosul,0.344
10,DET1J98,TDET12S,TDE7I25,DE61144,DEG1I44,DETEL3J,DETEL3J,7,mercosul,0.148
11,NLM8374,MLMP2Z4,MLMP224,4L6B334,ALG8334,NLN8374,NLN8374,7,antiga,0.261
12,INV2D80,INY2DFI,INY2DF1,IRU2DED,IRU2DE0,INV2D8D,INV2D80,7,mercosul,0.059
13,NZZ1133,I9II222,I9I1222,FX2Z333,FXZ2333,WNZZ3E3,WNZ23E3,7,antiga,0.31
14,PUM2782,LCU2ZFZ,LCU2ZF2,F99EE72,F99EE72,PWNZ772,PWN2T72,7,mercosul,0.212
15,PXL1J75,3527772,3SZ7772,PX441R6,PXA41R6,PXLJ175,PXLJ175,7,antiga,0.344
16,QHC3333,PFC3332,PFC3332,DDH033G,DDH0336,DPHE333,DPHE333,7,antiga,0.371
17,QOD0026,PPPPP2F,PPPPP2F,QOD0O26,QOD0026,00DD026,OOD0026,7,antiga,0.378
18,JPV5902,JPY5RP3,JPY5RP3,JPV59O2,JPV5902,JPY5902,JPY5902,7,antiga,0.675
19,PVX0095,PMXPPPE,PMXPPPE,PVXO095,PVX0095,PVXDDP5,PVX00P5,7,antiga,0.281
20,JSM2587,JSM2SBZ,JSM2582,JSM25B7,JSM2587,JSM2587,JSM2587,7,antiga,0.759
21,PLN9I88,2Y2X3S2,ZYZX352,PLN9I88,PLN9I88,PLN9I88,PLN9I88,7,mercosul,0.643
22,JRV2727,RLLL2LJ,RLL121J,F,F,1,1,1,antiga,0.113
23,RCS9D64,4CS2DC4,ACS20C4,CCS9D64,CCS9064,SC29D64,SCZ9064,7,antiga,0.444
24,NZW7017,YWC7PGZ,YWC7P62,NZW10K7,NZW10K7,NZW7DI7,NZW7017,7,antiga,0.168
25,PJE9369,JJE93EP,JJE93EP,P3E9369,P3E9369,PJE9369,PJE9369,7,mercosul,0.664
26,OKZ4H95,LSSS222,LSS5222,0KZZ4H5,OKZ24H5,0K2Z4H5,OKZ24H5,7,antiga,0.455
27,LPH8841,VPHFP4W,VPHFP4W,LPHB84I,LPH8841,LPH88AI,LPH8841,7,antiga,0.273
28,EXX1620,LY2S29X,LYZ529X,EXXG6ZO,EXX6620,EXXIG20,EXX1620,7,antiga,0.211
29,PLT6D50,L259232,LZS9Z32,PLT6D57,PLT6D57,PJT6D5L,PJT6D51,7,mercosul,0.097
30,PLT9B76,LL22CLL,LLZ2C11,PLT9B76,PLT9B76,PJTP876,PJTPB76,7,mercosul,0.642
