split,arquivo,largura,altura,n_caixas,area_pct,brilho
train,10-ate-18h-tudo-que-voce-precisa-saber-sobre-a-nova-placa-mercosul-no-brasil_jpg.rf.68050755136affcb87b97fea5915f0f5.jpg,416,416,1,55.95145908667541,110.67539023976825
train,10-ate-18h-tudo-que-voce-precisa-saber-sobre-a-nova-placa-mercosul-no-brasil_jpg.rf.6d0e4c1e7df848cd006595fa1adf6005.jpg,416,416,1,37.61094674556213,121.37918939534023
train,10-ate-18h-tudo-que-voce-precisa-saber-sobre-a-nova-placa-mercosul-no-brasil_jpg.rf.bea57e3711384fefb790002d11ce86dd.jpg,416,416,1,47.70629445859814,109.81177191198225
train,1358_yHukx_638030663335845154_jpg.rf.52bb923d60a9ea551891eed5057b86a9.jpg,416,416,1,0.21533028343925753,111.01085197855029
train,1358_yHukx_638030663335845154_jpg.rf.8ac9937e6c72e337251215efbfd7e870.jpg,416,416,1,0.17566568047337278,116.14155340853057
train,1358_yHukx_638030663335845154_jpg.rf.99d0a5f922f3066815744f08bb5e5d7a.jpg,416,416,1,0.2180297592957851,110.88500639484714
train,1519_ETzJw_638030711396581837_jpg.rf.72a4b2d860c604e62912beb4351f866c.jpg,416,416,1,0.18722263313609466,103.19055488782051
train,1519_ETzJw_638030711396581837_jpg.rf.929f0d0c8241fa8032ef80675937c2a3.jpg,416,416,1,0.20816896778435243,96.34810311883629
train,1519_ETzJw_638030711396581837_jpg.rf.c50eadaeab7191d36648b3ff9bb00723.jpg,416,416,1,0.28789938545547444,92.40030009553747
train,17702700_jpg.rf.520bcdb8b219467c6bebbd95038469df.jpg,416,416,2,0.1657893370132951,77.62392905571993
train,17702700_jpg.rf.a2c67f714dbf6c249847b374e2821309.jpg,416,416,2,0.22880340738914423,81.8972009060651
train,17702700_jpg.rf.df522189f442968364efb7e226d123ec.jpg,416,416,2,0.19415680473372782,82.65803362302762
train,17702753_jpg.rf.4af97b45dc20b90a13b1f9c4d8c45a5d.jpg,416,416,1,0.40297809829059955,105.29076137204142
train,17702753_jpg.rf.92e5439dc6bcfcc07f5c2851123e9d4a.jpg,416,416,1,0.22189349112426035,109.00527574889053
train,17702753_jpg.rf.92fd82e7019bd8f5673958f61937ab5d.jpg,416,416,1,0.3554347925341506,104.73918847078403
train,17702987_jpg.rf.170cd03395d24b2a6fe32cf519d4b282.jpg,416,416,1,0.35161291304453707,55.27084489028599
train,17702987_jpg.rf.5944ebaad192a6e9a2e7b4d091d42a48.jpg,416,416,1,0.47291050295858017,58.156698794995066
