split,arquivo,real,bruto,final,layout,status,conf_minima
test,images160_jpg.rf.af37fefe5b396a68038beba069a3134c.jpg,LQQ4J66,LPP4JS6,LPP4J56,mercosul,revisao_manual,0.256
test,images80_jpg.rf.31f280955f4de670d0b4299e439233a3.jpg,RHA0A01,IHADAD1,IHA0A01,mercosul,revisao_manual,0.266
test,17750975_jpg.rf.40818068d538a9d2cc1fe702e7c7757a.jpg,OOV0D55,PQLFD5S,PQLFD55,mercosul,revisao_manual,0.261
test,NZW2197_jpg.rf.f7cdad4cd7f388eca3b9f4f65b2d5f87.jpg,NZW2197,O4O2APZ,OAO24P2,antiga,revisao_manual,0.318
test,18674271_jpg.rf.3d580eca5bdf70aee0d256343912dbb4.jpg,HKV1E93,LKY1F22,LKY1F22,mercosul,revisao_manual,0.521
test,18583396_jpg.rf.c40ac7cf3504277ca5f2f8dff938372c.jpg,BCE7C00,YCEPCSC,YCEPC5C,antiga,revisao_manual,0.204
test,18068054_jpg.rf.a0da824ff34643134839ab1df41d86da.jpg,FPW4I75,SYF2252,SYF2Z52,mercosul,revisao_manual,0.316
test,20355938_jpg.rf.ac129267062426a5cee3ea4a7e9467e2.jpg,HLA0F38,GY3SE2W,GY35E2W,mercosul,revisao_manual,0.245
test,17823145_jpg.rf.9ccad460fb2e712d40166296184fc7bb.jpg,NLO2I92,NLQ2IP2,NLQ2IP2,mercosul,revisao_manual,0.495
test,18086810_jpg.rf.11a1e82c760ae3bbbb69c1802765e116.jpg,DET1J98,TDET12S,TDE7I25,mercosul,revisao_manual,0.38
test,17786080_jpg.rf.b6306855c3adec8dc4e522fd5ad53d52.jpg,NLM8374,MLMP2Z4,MLMP224,antiga,revisao_manual,0.473
test,17861781_jpg.rf.da2eff8da2aba7b79c0c4fcad09005dd.jpg,INV2D80,INY2DFI,INY2DF1,mercosul,revisao_manual,0.408
test,17714652_jpg.rf.19069f427ed7c9301b8f812596ba3550.jpg,NZZ1133,I9II222,I9I1222,antiga,revisao_manual,0.392
test,20350033_jpg.rf.8fb69ba5cdad53081208fc694274bfcd.jpg,PUM2782,LCU2ZFZ,LCU2ZF2,mercosul,revisao_manual,0.291
test,plate3_jpg.rf.353702e2396fb3483baadac58cece337.jpg,PXL1J75,3527772,3SZ7772,antiga,revisao_manual,0.305
test,17989126_jpg.rf.335492f60f4f7ea4118198f02ad15923.jpg,QHC3333,PFC3332,PFC3332,antiga,revisao_manual,0.361
valid,20210115_0919371036820_jpg.rf.fa1a215b70d14af473704b46e162680a.jpg,QOD0026,PPPPP2F,PPPPP2F,antiga,revisao_manual,0.49
valid,20210115_0915089354680_jpg.rf.dd59b86f2ac6d5caac437aa558fdb77a.jpg,JPV5902,JPY5RP3,JPY5RP3,antiga,revisao_manual,0.277
valid,PVX0095_jpg.rf.7ab97b5475d2b7bb51f8ab6c8274553d.jpg,PVX0095,PMXPPPE,PMXPPPE,antiga,revisao_manual,0.39
valid,20210115_0920314842690_jpg.rf.75ae42313cf9004f846bcadb9b28fc48.jpg,JSM2587,JSM2SBZ,JSM2582,antiga,revisao_manual,0.375
valid,20210115_0916048177070_jpg.rf.3b3538e5eeaf3c0ee9e10a0a447fc85e.jpg,PLN9I88,2Y2X3S2,ZYZX352,mercosul,revisao_manual,0.285
valid,20210115_0916117200380_jpg.rf.2afb6924f0c3b20477a3a494998c2700.jpg,JRV2727,RLLL2LJ,RLL121J,antiga,revisao_manual,0.468
valid,20210115_0917039766700_jpg.rf.139ed7405407caec6f4e15c9ab9b3b9e.jpg,RCS9D64,4CS2DC4,ACS20C4,antiga,revisao_manual,0.3
valid,20210115_0917012590150_jpg.rf.0801d31d7d66066c0fd1bd9a639c20cd.jpg,NZW7017,YWC7PGZ,YWC7P62,antiga,revisao_manual,0.314
valid,20210115_0920304594080_jpg.rf.40f898055253890928f3db9d330e4e97.jpg,PJE9369,JJE93EP,JJE93EP,mercosul,revisao_manual,0.276
valid,20210115_0916099385770_jpg.rf.cbb0563a1630cebe5c5393d4b90e2136.jpg,OKZ4H95,LSSS222,LSS5222,antiga,revisao_manual,0.273
valid,20210115_0916572273870_jpg.rf.864908f31d491da5700206cfde0b4178.jpg,LPH8841,VPHFP4W,VPHFP4W,antiga,revisao_manual,0.338
valid,20210115_0918548895850_jpg.rf.dbe34ba174354dd67ff23d8ed786b53b.jpg,EXX1620,LY2S29X,LYZ529X,antiga,revisao_manual,0.394
valid,20210115_0916091447060_jpg.rf.24de3729aa058cd11a8bb29cf2509c7f.jpg,PLT6D50,L259232,LZS9Z32,mercosul,revisao_manual,0.196
valid,20210115_0916040548500_jpg.rf.cfd494d8534070368fe2d3f9fc7f0d35.jpg,PLT9B76,LL22CLL,LLZ2C11,mercosul,revisao_manual,0.563
