arquivo,real,bruto,final,layout,conf_minima,status
1dd1b52b63606fd1_jpg.rf.cb3aabbb140c7bd625bfe2db3226dcfe.jpg,WJZ7424,LS5J251,LSSJ251,antiga,0.481,ok
22deb87614a920e62_jpg.rf.bf1a9d2ee6044e2aa9b61396a1fd55b4.jpg,VXO6KGE,LL2GC9L,LLZ6C91,antiga,0.569,ok
31de25424e74c9e93_jpg.rf.474af6cd5152339e472dd7f513efd908.jpg,KCG627L,44IPFHG,AAIPFH6,antiga,0.304,ok
3a54b5a73b139f632_jpg.rf.c5281d289e2a7bd2c5cc1788b2dca5b8.jpg,VA02PYS,L345442,L3A5442,antiga,0.532,ok
434324b18714711d_jpg.rf.bce64a71c42ce0027e48a7ac46d989a8.jpg,BK538HV,L2L29IQ,LZL2910,antiga,0.374,ok
51f17f0ecd40ee02_jpg.rf.9ac43f17d31b2a308e64c1660e93b728.jpg,4RRW111,1IIW4LJ,IIIW41J,antiga,0.382,ok
8af3da6b199c45dc_jpg.rf.731861a8e420739aadb1b3b2e6421d9b.jpg,S9WTPKL,L9LLI5J,L9L115J,antiga,0.469,ok
8f7c0d235669f753_jpg.rf.4824ec6ce5ecd42566255d5041107d97.jpg,RALLYUS,L45EL9A,LASE194,antiga,0.29,ok
b5cde164735423a9_jpg.rf.09b81ab377222c0481ddfee36dbe10cc.jpg,G679DAN,LIL99AL,LIL9941,antiga,0.376,ok
cffe4637de92e9752_jpg.rf.f3b94ad599f88a1e44733e8921c7294b.jpg,6366363,A91PS92,A9IP592,antiga,0.244,ok
de2f9caaba3f2d18_jpg.rf.029371545413253e28bb27abe48f7169.jpg,DQB70I8,G9P19IL,G9P1911,antiga,0.376,ok
ebfd3985073ef25c_jpg.rf.67977ad9d536fc70003cee0059ad5b3f.jpg,BR83132,E4CL234,EAC1234,antiga,0.479,ok
ee0e238c75b62418_jpg.rf.c040129410459f6e5251eb8166e4214d.jpg,YF63KYB,6SX2XXS,GSX2XX5,mercosul,0.559,ok
f73237862e02edfa_jpg.rf.8b0f3ab33c7ca9ddf4f3e2058aa9ee2d.jpg,BD8D872,L2J19LJ,LZJ191J,mercosul,0.352,ok
